label,tweet,label_category
1,"""@adorezoey: how u gone bring ur side bitch to a game where you know ya gf friends at ?! 😩😩😩😩"" i swear!!!!!",Offensive Language
2,"""@allaboutmanfeet: httpurl"" woof woof and hot soles",Neutral
2,"""@allyhaaaaa: lemmie eat a oreo & do these dishes."" one oreo? lol",Neutral
1,"""@almightywayne__: @jetsandaswisher @gook____ bitch fuck u httpurl"" maybe you'll get better. just httpurl",Offensive Language
1,"""@almightywayne__: fuck red malone man bitch ass niggah"" could you please use complete sentences?",Offensive Language
2,"""@arizonasfinest6: why the eggplant emoji doe?""y he say she looked like scream lmao",Neutral
1,"""@autoworid: hennessey venom gt 🙈 httpurl"" that's one sexy bitch",Offensive Language
1,"""@bossbytchh: him seh me pussy wetter then a shower curtain....#ahmesehwetness""<lmao!!",Offensive Language
1,"""@bro_hen314: #eaglesnation and every #eagles need to see that pic i just posted because that bitch just said the most racist shit""",Offensive Language
1,"""@bvsedchink: yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life httpurl"" @amjemiebenn",Offensive Language
2,"""@babyanimalpics: baby monkey bathtime httpurl"" awwwwe! this is soooo adorable!",Neutral
1,"""@baylaagottabody: 😂😂😂😂 i ain't shit ."" damn skippy lol",Offensive Language
1,"""@beeasyjrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""no bs must b >30%chance",Offensive Language
1,"""@beenbasedb: @_kudabrazyy httpurl"" 0 rings 0 mvps 0 bitches lol",Offensive Language
1,"""@beenflynsolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",Offensive Language
1,"""@bestproadvice: the facts on tattoos...tattoo httpurl"" he's a pussy with not tattooing them nipples",Offensive Language
1,"""@bill215_: 💯💯💯 rt @nel_ayden bitches be wanting to act like niggas so bad 😩😩😩 that shit aint cuteeeee"" but niggas act like bitches..",Offensive Language
1,"""@bitchjones92: get worshiping bitch! httpurl"" woof woof",Offensive Language
1,"""@blackchiquitita: wow. rt @thatmanpalmer i'm lost. are those buttcheek piercings? httpurl"" yeah she's a hoe",Offensive Language
1,"""@blacknerdjade: ok, sis."" she'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",Offensive Language
0,"""@blackman38tide: @whalelookyhere @howdydowdy11 queer"" gaywad",Hate Speech
1,"""@brokenpiecesmsc: @itsnotadam faggot read my tweets after dat k"" it wasn't even funny lol",Offensive Language
1,"""@brosconfessions: this bitch was so ungrateful httpurl"" fr ..... lulwhore",Offensive Language
1,"""@cashandboobies: i been kidnapped yo bitch""",Offensive Language
0,"""@cb_baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",Hate Speech
1,"""@ccobey: @aydanmccoy happy birthday nigs"" thanks yo",Offensive Language
1,"""@chlldhoodruiner: when ur teacher tells u that u have homework httpurl"" this bitch need to go!!!",Offensive Language
1,"""@caelang15: ""@22edham: @caelang15 that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul.. httpurl",Offensive Language
1,"""@canifuckornah: what would y'all lil ugly bald headed bitches do if they stop making make-up & weave?""",Offensive Language
1,"""@carelessone92: leafs better win this damn game so i can go riot and shit #earlychristmas"" you better start looting my nig",Offensive Language
1,"""@causewereguys: going back to school sucks more dick than the hoes who attend it.""",Offensive Language
1,"""@causewereguys: on my way to fuck yo bitch httpurl"" me as a 9 year old",Offensive Language
1,"""@celeynichole: @white_thunduh how come you never bring me food"" i dont have a car retard",Offensive Language
1,"""@chadmfverbeck: if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like 8 prople",Offensive Language
1,"""@chandlerparsons: how bout them cowboys!!!!"" shutup pussy",Offensive Language
1,"""@clicquotsuave: lmaooooooooooo this nigga @krillz_nuh_care httpurl"" <bitch want likes for some depressing shit..foh",Offensive Language
1,"""@coley_cee: @lil_aerii girl you know i was spitting that g shit to you & you was going lbvs""bitch plz",Offensive Language
1,"""@coley_cee: let me make a couple tweets off cuzzo page, so i won't get in twitter jail.""lmao bitch don't trick me again",Offensive Language
1,"""@comedyposts: harlem shake is just an excuse to go full retard for 30 seconds.""",Offensive Language
1,"""@comedytruth: amen miley 🙏 httpurl""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",Offensive Language
1,"""@corybandz: having one loyal female is wayyyyy better than having hoes , idc 💯""",Offensive Language
1,"""@crhedrys: pussy licking pussy.... meow meow #stopwhitepeople2014 🐱 httpurl#8221;"""""""" 😕",Offensive Language
1,"""@dbab_holloway: check out our 12th man. #cowboysnation"" even with all those faggot ny fans in the stands",Offensive Language
1,"""@dgotbricks: what happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",Offensive Language
1,"""@daedavidavie: @white_thunduh im the bitch okay nudes pat 😪😏🐸"" wow",Offensive Language
0,"""@devilgrimz: @vigxrarts you're fucking gay, blacklisted hoe"" holding out for #tehgodclan anyway httpurl",Hate Speech
1,"""@diamondloudkush: the fuck be wrong with these bitches?"" nobody knows",Offensive Language
1,"""@dietrich1892: yall shut up:p"" make me bitch",Offensive Language
1,"""@dionairish: i hate a ""i'm pregnant"" type of bitch.""",Offensive Language
1,"""@doyou_q: got bitches in the dm but i don't ever read'em"" which is y your top 3",Offensive Language
2,"""@domworldpeace: baseball season for the win. #yankees"" this is where the love started",Neutral
1,"""@dommoneek: little stupid as bitch i don't fuck with yoooooouuuu..""",Offensive Language
1,"""@dreadheadari: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol",Offensive Language
2,"""@dunderbail: i'm an early bird and i'm a night owl, so i'm wise and have worms.""",Neutral
2,"""@edgarpixar: overdosing on heavy drugs doesn't sound bad tonight."" i do that pussy shit every day.",Neutral
2,"""@el_grillo1: pit bulls photographed as lovely fairy tale creatures httpurl#8221; they *are* fairy tale creatures.",Neutral
1,"""@ferocious_ghost: @1stname_bravo aw."" ...fag, don't tweet ""aw"" to me lol",Offensive Language
2,"""@flokid88: as long as the lakers trash from now on, i could careless. and that's real."". cc: @benballer hahaha",Neutral
1,"""@frosstyy_: @h0rheyd i didn't say anything tho"" kiss me then faggot",Offensive Language
2,"""@funnypicsdepot: this the ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut httpurl"" 😂 yup",Neutral
1,"""@g27status: i could go for a fat ass bitch on my lap"" same",Offensive Language
1,"""@gedmelle: 17 missed calls!!!! 😠😡""das yo p.o bitch twitter finna be screamn #freemoneymelle",Offensive Language
1,"""@gtm_al: ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao 😂😂😂😂",Offensive Language
1,"""@gagatom1: “@malefoot: 3 | amo los pies httpurl#8221;"" fuck yeah",Offensive Language
1,"""@girlthatsvonte: these hoes be thinking meat won't slap they ass 😴👋"" ainna bruh",Offensive Language
1,"""@girlthatsvonte: yall bitches wit no edges be doing the most talking 😩😴✋""😂😂😂",Offensive Language
1,"""@girlthatsvonte: yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",Offensive Language
1,"""@girllssues: i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck",Offensive Language
1,"""@gizzy_jones94: if she kiss u with her eyes open watch that bitch!""lmfao",Offensive Language
1,"""@goofstroop: you a woulda coulda shoulda ass hoe 😳🙊""",Offensive Language
1,"""@gotti_ltf: happy bday bitch ass nigga @jetsandaswisher""preciate that bitch roll up!",Offensive Language
1,"""@hbmostdope: @1jayee @pipinhoes used to send that bitch up""",Offensive Language
1,"""@hbmostdope: ugly bitches be like i'm my own wcw duh bitch you ain't nobody elses😂😂""",Offensive Language
1,"""@halotgmg: @1stname_bravo nigga you know we hacky sack hoes."" ...nah, i throw no look passes lmao",Offensive Language
1,"""@heartlessfuck: glad i'm getting outta atlanta. nothing but a bunch of niggas in & outta jail & dumb bitches with mad kids fuckin em.""",Offensive Language
2,"""@hermosaalma: this isn't ghetto.....it's smart httpurl"" i'm doing this idc",Neutral
1,"""@hiimjorib: i would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",Offensive Language
1,"""@hornyfacts: being single isn't an excuse to be a hoe."" @theonemiss_luu",Offensive Language
1,"""@hoskinsty96: white boy power bitch"" black power bitch",Offensive Language
1,"""@hudgens_11: lets get drunk, get blowed, spit shit spark blunts & fuck hoes!"" bro white dudes have no chill.",Offensive Language
1,"""@iscoutgirls: @verbally_abrupt bitch where u been"" around the world and back. where you been?",Offensive Language
1,"""@itsyahboiray: @anelylove if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off 😂😂😂😂"" *by @anelylove *",Offensive Language
1,"""@itsyesie: #oomf is soooo cute. but he probably has hoes on him a lot.""",Offensive Language
1,"""@jayten9: in every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. httpurl"" lmao damn captain saveahoe",Offensive Language
2,"""@jreebo: who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking httpurl"" hot sox and legs",Neutral
1,"""@jamesynba: i wish i was a bitch like my brother keezy 😒"" ooooow i bet you do",Offensive Language
1,"""@jasminepore: if you dressed up as a cat for halloween you are basic."" ...or a pussy",Offensive Language
1,"""@jewelxo: can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @pornhub get on it katie<3",Offensive Language
1,"""@joebudden: stop being scared to choke her during sex u bitch ass niggas. she’ll like it."". says the guy who hits women out of bed. foh",Offensive Language
1,"""@johnny55perez: @white_thunduh ha well iguess i make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",Offensive Language
1,"""@kazatta: @1takehov oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",Offensive Language
1,"""@kelsiebelsi: you're not a man if you refer to every girl as a bitch""",Offensive Language
1,"""@keyshawnswag: lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? my nigga!!!",Offensive Language
2,"""@keyshawnswag: peel up peel up bring it back up rewind back where i'm from they move shaq from the line"" ooooow who tf said that trash!!?",Neutral
1,"""@kingcuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",Offensive Language
1,"""@kinghendo95: @vondreaam naw it's my old tape. new cover . my upcoming mixtape is #kingofthehill"" yeah i'm waiting on that hoe mayne!",Offensive Language
1,"""@kingteej_: ol dirty foot ass bitches.."" this was too funny to me.",Offensive Language
1,"""@king_shawn_6: @white_thunduh that's where i get my yellow flags for being amazing 👏😌"" hell yeah niggy",Offensive Language
1,"""@kissmysmilee: don't got time for bitches to be actin iffy.""",Offensive Language
2,"""@knightfanneal #ucfpinkparty come on stay alive knights nation!!!!"" this is still the early bird special. #comeatmeut",Neutral
1,"""@kyranadiya_: these hoes ain't loyal ; no they ain't httpurl"" smfh & wonder why nobody decent wants them",Offensive Language
1,"""@lcistj: bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu."" bye hoe!",Offensive Language
1,"""@lodycash: dry pussy bitches always blame it on the condom😂""👏😂👏😂",Offensive Language
1,"""@lunaraps: shut yo bitch ass up! httpurl"" 😭😂",Offensive Language
1,"""@laflaregodjosh: gucci mane in jail and dropping mixtapes every month and you hoes can't even text back""",Offensive Language
1,"""@latrobemark: you love these hoes more then money wats wrong these niggas""",Offensive Language
1,"""@lebronvuitton: a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo."" ...sounding like me over there lol",Offensive Language
1,"""@lilfridayhoe: easy cum, easy hoe"" that's a fact !",Offensive Language
1,"""@lifeasbros: charlie sheen is too real httpurl"" major fucking respect for charlie sheen.",Offensive Language
1,"""@lightskingawdd: wish i had a bae 😕"" you got all the hoes tho",Offensive Language
1,"""@lil_mike_12: fuck twerking bitch can you cook ?""",Offensive Language
1,"""@linniekravitz: @wesgodlaflare bitch wtf"" httpurl",Offensive Language
1,"""@lipe_the_great: “@h0rheyd: ""@lipe_the_great: shut up zoe"" fight me pussy” for zoe? i'm good, man."" you are good ma'am. move along now",Offensive Language
1,"""@lolaaisdope: lmao fucking snake bitches"" @ em",Offensive Language
1,"""@loveable_aizah: big booty hoes everywhere sheesh 😍"" damn 🌿👀🌿",Offensive Language
2,"""@mlbnetwork: stay tuned to @mlbnetwork for an update on the report that @yankees 1b @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",Neutral
2,"""@m_rad: “@dezdlt: ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut httpurl#8221; yes lmfao""@soccerboy_04",Neutral
1,"""@madflyentist: oregon chokes every year get off the field trash ass program"" rft",Offensive Language
1,"""@mannydiesel: def not cowboy lol rt @artoffloyd: terrell owens was the best eagle & cowboy ever"" ..dude cried like a bitch on tv, over romo",Offensive Language
0,"""@markroundtreejr: lmfaoooo i hate black people httpurl"" this is why there's black people and niggers",Hate Speech
1,"""@master11_: @20tolife_ @gabrielastarr how could u do this to me bitch"" potent",Offensive Language
2,"""@maxmayo77: httpurl"" a pissed lad past out. i would lick his dirty soles while he slept.",Neutral
2,"""@maxmayo77: httpurl"" love frat boy w/ soft long soles",Neutral
2,"""@maxmayo77: httpurl"" sexy lad with hot soles and arches.",Neutral
1,"""@megamindnick: @white_thunduh nah fam i gotta cheat with the hoes"" depends on the female i feel",Offensive Language
2,"""@mesha_nojas: @_vontethekidd 👏👏👏👏🙌"" i got hicks lol",Neutral
1,"""@migsmichelen: this new twitter is confusing the shit out of me."" go back to south america bitch",Offensive Language
1,"""@miikito_x3: toto means ass or vagina?""i think pussy cause toto santi is like nasty pussy",Offensive Language
1,"""@mikelahenry: but what if he actually does choose the ugly bitch over you? ""her ass must be fat!",Offensive Language
1,"""@mileycyrus: bitch couldn't kill my vibe if ya tried. 🌈🌈🌈"" dis why i love miley :*",Offensive Language
1,"""@montrell_: i'm tired of bitches saying i look mean.. 😒"" nigga you big af, wear tight shirts, and grim everybody.",Offensive Language
2,"""@motherjones: 10 birds your grandkids may never see, thanks to climate change httpurl httpurl"" #climate",Neutral
1,"""@mvckfadden: ""stay beautiful you bitch""""",Offensive Language
1,"""@nickiminaj: #wutkinda r purple. ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. but in still shitted on sum gurls",Offensive Language
1,"""@nastycopper: money getting taller and bitches getting blurry""",Offensive Language
1,"""@newsomejade: i ain't never seen a bitch so obsessed with they nigga😂"" i'm obsessed with mine 😑",Offensive Language
1,"""@nicholas_ted33: kobe stay talking trash. but let's not forget httpurl"" @j_austin12 i meant to do this one. smh.",Offensive Language
0,"""@nochillpaz: ""at least i'm not a nigger"" httpurl"" lmfao",Hate Speech
1,"""@no_fakingg: people always asking me what i'm mixed with."" she a bad asian bitch lol",Offensive Language
0,"""@notoriousbm95: @_whiteponyjr_ ariza is a snake and a coward"" but at least he isn't a cripple like your hero roach lmaoo",Hate Speech
2,"""@osay_it_aint_so: “@ignorealllaws: fosters home for imaginary trash” whoa chill"" that show was everything tf",Neutral
1,"""@officialreplay: i am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",Offensive Language
1,"""@prayingforhead: “@macklemroe: stop bringing weird niggers into my mentions! @prayingforhead” httpurl""",Offensive Language
1,"""@prettyboss_brat: we don't love these hoes 👐🙅""",Offensive Language
1,"""@patrickquelo: if yo girl cant have homeboys you a ol weak bitch ass nigga!""",Offensive Language
1,"""@patsfanjoe32: @d_palomino52 i think worst advice i gave you was "" don't be a pussy and speed up"" lol""",Offensive Language
1,"""@poemsporn: quote this tweet with your favorite animal.""pussy",Offensive Language
1,"""@poetic_success: i hate when strippers tell you they're ""dancers"". hoe, ballet dancers don't pop their pussy to beethoven. you a stripper!""",Offensive Language
1,"""@poffalicious: andrewbryant: poff has double vision after 2 beers poff: ... double pussy 😎"" smh",Offensive Language
1,"""@poobie_: when bitches twerk on the computer.... me: ""in ya 👙, in ya damn 👙‼️""""",Offensive Language
1,"""@prodsjewel_: “@sreadthepeace: “@yungmindless: @peacepunkprince prince, this is art. httpurl#8221; nobody takin his bitch!",Offensive Language
2,"""@quan1t0: 61% of welfare/government aid is claimed by white people. so y'all black slander is trash now.""",Neutral
1,"""@quan1t0: these bitches don't care they just play that role.""",Offensive Language
1,"""@queen_kaaat: it took a while for you to find me, but i was hiding in the lime tree."" @iemonaids dis bitch in da wrong tree bro.",Offensive Language
0,"""@rtnba: drakes new shoes that will be released by nike/jordan.... yes, there's glitter on the shoes httpurl"" ....dudes a fag",Hate Speech
2,"""@rachiesoul: @dizzleofficial inna di ghetto!!!"" you alone lmaoo",Neutral
2,"""@ramboutit: “@master11_: @20tolife_ @ramboutit hoes austin” teach us austin.""i teach u how to get curved? that's all i know",Neutral
1,"""@reachtheeclimax: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",Offensive Language
1,"""@renegademo: fat hoes get chose"" lol",Offensive Language
1,"""@riahsm: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",Offensive Language
1,"""@rishaawilliams: @treshon_scrooge @_nevertrustt ol bitch ass"" httpurl",Offensive Language
1,"""@rnadjorell: bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad"" lmaooo",Offensive Language
1,"""@sactownprodigy: just because tony romo at the mavs game dont mean he still not a bitch lmao.. fuk them cowgirls"" lol bitch fuck you",Offensive Language
1,"""@samjlayman : holy shit, freddie highmore was in charlie and the chocolate factory"" me: *rolls on the floor, laughing*",Offensive Language
1,"""@samirahusic_: ""i don't want to have sex with my gf because i feel like i'm using her.."" - anonymous"" whata faggot",Offensive Language
1,"""@sexualgxfs: @ one of your followers with this 😍😩 httpurl"" @ somebody, bitch if you don't",Offensive Language
1,"""@shaa_jenkins: if ya bitch always bitching clearly she care!"" or just an annoying bitch!",Offensive Language
1,"""@shantaughther: these catfish hoes thinkin they slick.. but niggas catching on 😌""",Offensive Language
1,"""@shewenttojordan: can't worry about a bitch that ain't worried bout me"" #real",Offensive Language
1,"""@showarrive: side hoes are for insecure niggas that can't handle a real one.""",Offensive Language
1,"""@shun_stokes: 😂😂😂😂rt @bluprint_4: lmao! this bitch come scooting in the tent like she about to fuck some shit up!"" 😭😭😭",Offensive Language
1,"""@shun_stokes: my cousin said he share hoes with his brothers. he said sharing is caring and he love his brothers 😂""",Offensive Language
1,"""@slimgirl_probz: i'm hungry but ionn wanna spend my money on food😒""broke hoe problems 😂😂😂💀",Offensive Language
1,"""@smeegbaby: dese hoes be lyin to all of us nigga""",Offensive Language
1,"""@snakecharmsdump: httpurl"" oh yeah fuck that bitch",Offensive Language
2,"""@sportscenter: eli manning just threw his nfl-leading 27th interception of the season."" lmao trash",Neutral
2,"""@sportscenter: usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team. » httpurl"" he's a bitch",Neutral
1,"""@stellatex: guess what? i also have zero time for your mansplaining! adios!"" stfu pussy",Offensive Language
2,"""@stephenwildboy: chilling 👅™ httpurl"" sexy scally lad",Neutral
1,"""@strap__: i ain't sharing no bitch if you mines you mines 💯""",Offensive Language
1,"""@sukmysweetness: money only impress the simple broke bitches""",Offensive Language
1,"""@sylvieamx: #pisces will never be anybody's bitch, they don't let people control or change them."" rigghhht",Offensive Language
2,"""@tee_jonez: @16stanleys @kingcuh tuku ho idk blah blah blah"" 😂😂😂",Neutral
2,"""@tee_jonez: @kingcuh @16stanleys i'm not mad cuh hahaha"" suure.. tuku ho ita! 😂😂",Neutral
1,"""@tayknosbest: these hoes is crazy""",Offensive Language
1,"""@taylorr_babee: you ain't ever gonna be a slice bitch."" kevin hart. (:",Offensive Language
1,"""@thatniggatroy: oomf so fuckin fine tho 😩 dam"" @ her, don't be no bitch.",Offensive Language
1,"""@thegamerkingkev: i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",Offensive Language
1,"""@thenewsat: #newsatquestions yeah bitch, yeah bitch, call me _______: a.) maybe b.) steve-o c.) later d.) jesse pinkman"" @machinegunkelly",Offensive Language
1,"""@thenymphotweets: hickies in between her thighs right by her pussy >>>"" its only right",Offensive Language
1,"""@theonemiss_luu: would you still love me when i'm no longer young and beautiful?"" no. ugly monkey ass.",Offensive Language
1,"""@therealrickyb21: @jetsandaswisher @gook____ y'all come through the front.""bitch i ain't coming",Offensive Language
1,"""@therealrickyb21: @jetsandaswisher faggot bitch"" httpurl",Offensive Language
1,"""@the_realist_sam: @madrid2_ yea, i'm on my ipad. i don't work this friday. let's ball this faggot up @tropicalblanket""i work 2-5",Offensive Language
2,"""@theo17100: httpurl"" this scally lad would get it",Neutral
0,"""@theomaxximus: #gerryshalloweenparty httpurl"" halloween was yesterday stupid nigger",Hate Speech
1,"""@theomaxximus: chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* httpurl",Offensive Language
1,"""@thornton25: “@kantkeepahbytch: i love eating pussy lol i never get full lol” i can eat that shit forever lol"" and ever.",Offensive Language
1,"""@tmacc_gfg: “@voiceofdstreetz: ""@tmacc_gfg: “@tizzimarie: no slushes 😥”hoes nasty anyway fam""😴”them hoes taste like meds""🍇🍇🍼",Offensive Language
1,"""@tmacc_gfg: “@tizzimarie: no slushes 😥”hoes nasty anyway fam""😴",Offensive Language
1,"""@tmacc_gfg: bobby bitch-by @bobbyshmurdags9 be getting me live as fuck"" hell yea i play that hoe before my workout",Offensive Language
1,"""@trelekidd: yo bitch is gucci mane rt @jabarithegreat : my bitch a stoner 💯💯 httpurl""😂😂😂😂😂😂",Offensive Language
1,"""@tweetgamelazy: i can ride your bitch with no handle bars""",Offensive Language
1,"""@tyjoncuffee: and if you ain't a hoe get up out my traphoussseeeee""",Offensive Language
2,"""@uberfacts: 15 sad tv character deaths we're still bitter over... httpurl httpurl""ned stark was the man",Neutral
1,"""@unholy_jack: these harbor bitches are all ""party bus hoes"""" lol all?",Offensive Language
1,"""@vbomb20: @woodchuck20 pussy"" love it",Offensive Language
1,"""@veronikahumbert: ultraviolence video, its coming you little bitch! #mtvhottest lana del rey httpurl"" bitchy promo",Offensive Language
1,"""@vineforthebyrd: on my way to fuck your bitch httpurl"" lmfao kittycopter",Offensive Language
2,"""@wbur: a smuggler explains how he helped fighters along the ""jihadi highway"": httpurl""",Neutral
1,"""@wbeezy_: ""@quathegreat: aww their avis look so cute together 💑 httpurl"" 💀💀💀"" do i gotta get ike avi on this bitch ?",Offensive Language
1,"""@wbeezy_: ""@run_drc: its simple, dont be a hoe=dont worry about being exposed 😜"" fight me""why ?",Offensive Language
1,"""@wannabekanye: whys this bitch boosting herself httpurl"" her size isn't exactly the most healthy tho",Offensive Language
1,"""@withaprettyface: @_1nonlykeisha bet not be no bitches! 😂👐🔫🔫🔪"" 😂😂 kim bye!!!",Offensive Language
1,"""@x_xpdotjdot: damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. drive these bitches loco",Offensive Language
1,"""@xojennygirl: i'm making marack my girlfriend ."" @marackaf aye b you pullin hoes just like o taught you",Offensive Language
1,"""@xoxo__angiee: bruno fag boy"" you love me.",Offensive Language
